"Pred","Truth","Type","Convergence","sim","EM","OM"
95.0547381995922,105.431906230448,"Bmsy","Converged",9,"Age","Growth_M (0,0)"
0.152858439969271,0.152142410534649,"Fmsy","Converged",9,"Age","Growth_M (0,0)"
23.2527870595367,17.28778,"R0","Converged",9,"Age","Growth_M (0,0)"
0.11541634597224,0.108,"M_F","Converged",9,"Age","Growth_M (0,0)"
0.11541634597224,0.108,"M_M","Converged",9,"Age","Growth_M (0,0)"
31.4461121598961,27.0823531123326,"Tier 3 HCR Catch","Converged",9,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",10,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",10,"Age","Growth_M (0,0)"
94.4248877355322,105.431906230448,"Bmsy","Converged",10,"Age","Growth_M (0,0)"
0.154581492276254,0.152142410534649,"Fmsy","Converged",10,"Age","Growth_M (0,0)"
23.3565353243266,17.28778,"R0","Converged",10,"Age","Growth_M (0,0)"
0.116257064712225,0.108,"M_F","Converged",10,"Age","Growth_M (0,0)"
0.116257064712225,0.108,"M_M","Converged",10,"Age","Growth_M (0,0)"
28.9398187075823,18.4789826570324,"Tier 3 HCR Catch","Converged",10,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",11,"Age","Growth_M (0,0)"
1,0.5,"Male Sex Ratio","Converged",11,"Age","Growth_M (0,0)"
103.893028374219,105.431906230448,"Bmsy","Converged",11,"Age","Growth_M (0,0)"
0.149743494170155,0.152142410534649,"Fmsy","Converged",11,"Age","Growth_M (0,0)"
17.9140719122237,17.28778,"R0","Converged",11,"Age","Growth_M (0,0)"
0.109470132502804,0.108,"M_F","Converged",11,"Age","Growth_M (0,0)"
0.109470132502804,0.108,"M_M","Converged",11,"Age","Growth_M (0,0)"
12.046546275563,12.2841069983455,"Tier 3 HCR Catch","Converged",11,"Age","Growth_M (0,0)"
1,0.5,"Female Sex Ratio","Converged",12,"Age","Growth_M (0,0)"
