"Age","Sex","True","Pred","Convergence","sim","EM","OM","Type"
27,2,5.76754588734057,5.88385456771948,"Converged",1,"Age","Growth_M (0,0)","Weight at age"
28,2,5.7834831393354,5.89816083032624,"Converged",1,"Age","Growth_M (0,0)","Weight at age"
29,2,5.79695172486019,5.9101751026317,"Converged",1,"Age","Growth_M (0,0)","Weight at age"
30,2,5.80833099962894,5.92026214195544,"Converged",1,"Age","Growth_M (0,0)","Weight at age"
1,1,0.800220113406208,0.82896559285141,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
2,1,1.20796285697858,1.24624171777098,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
3,1,1.64445462610239,1.69260779240562,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
4,1,2.08588861916587,2.14409003545798,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
5,1,2.51481923738296,2.58307140499054,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
6,1,2.91957186656435,2.99771164350137,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
7,1,3.29316533931301,3.38088208252777,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
8,1,3.63217402539275,3.72903613966855,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
9,1,3.93571598120077,4.04120102411694,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
10,1,4.20462937945299,4.31815382679829,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
11,1,4.44083947522637,4.56178562287297,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
12,1,4.64689281530972,4.77463150709191,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
13,1,4.82562748834234,4.95953624910313,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
14,1,4.97994872083971,5.11942544601812,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
15,1,5.11268313306861,5.25715580646976,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
16,1,5.22648997606137,5.37542302988088,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
17,1,5.32381249582001,5.47671045498428,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
18,1,5.40685673335688,5.56326574750745,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
19,1,5.47758844492918,5.63709623894343,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
20,1,5.5377414565729,5.69997614567131,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
21,1,5.58883275738382,5.75346088836687,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
22,1,5.63218110882462,5.79890521170419,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
23,1,5.66892701667403,5.83748288402586,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
24,1,5.70005267524503,5.87020653081878,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
25,1,5.72640102866033,5.89794670165075,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
26,1,5.74869346247742,5.92144964824062,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
27,1,5.76754588734057,5.94135354784178,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
28,1,5.7834831393354,5.95820307582974,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
29,1,5.79695172486019,5.97246233993388,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
30,1,5.80833099962894,5.98452625462696,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
1,2,0.800220113406208,0.82896559285141,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
2,2,1.20796285697858,1.24624171777098,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
3,2,1.64445462610239,1.69260779240562,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
4,2,2.08588861916587,2.14409003545798,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
5,2,2.51481923738296,2.58307140499054,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
6,2,2.91957186656435,2.99771164350137,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
7,2,3.29316533931301,3.38088208252777,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
8,2,3.63217402539275,3.72903613966855,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
9,2,3.93571598120077,4.04120102411694,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
10,2,4.20462937945299,4.31815382679829,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
11,2,4.44083947522637,4.56178562287297,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
12,2,4.64689281530972,4.77463150709191,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
13,2,4.82562748834234,4.95953624910313,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
14,2,4.97994872083971,5.11942544601812,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
15,2,5.11268313306861,5.25715580646976,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
16,2,5.22648997606137,5.37542302988088,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
17,2,5.32381249582001,5.47671045498428,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
18,2,5.40685673335688,5.56326574750745,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
19,2,5.47758844492918,5.63709623894343,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
20,2,5.5377414565729,5.69997614567131,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
21,2,5.58883275738382,5.75346088836687,"Converged",2,"Age","Growth_M (0,0)","Weight at age"
