"EM","OM","sim","gradient","pdHess","convergence"
"Age","Growth_M (0,0)",182,4.00093599954521e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",183,2.06142178205314e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",184,3.65548954446002e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",185,2.22310917165312e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",186,0.000111967093265716,TRUE,"Converged"
"Age","Growth_M (0,0)",187,0.000107486684289962,TRUE,"Converged"
"Age","Growth_M (0,0)",188,9.8934520181746e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",189,2.51991347728589e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",190,4.28208562807739e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",191,0.000111830801300527,TRUE,"Converged"
"Age","Growth_M (0,0)",192,1.51694588014821e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",193,0.000116945498809,TRUE,"Converged"
"Age","Growth_M (0,0)",194,4.62279477590444e-06,TRUE,"Converged"
"Age","Growth_M (0,0)",195,3.46030866639611e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",196,4.54450600894308e-05,TRUE,"Converged"
"Age","Growth_M (0,0)",197,4.4083220607149e-11,TRUE,"Converged"
"Age","Growth_M (0,0)",198,0.000107386221199336,TRUE,"Converged"
"Age","Growth_M (0,0)",199,4.15994373488171e-10,TRUE,"Converged"
"Age","Growth_M (0,0)",200,0.000142139522605231,TRUE,"Converged"
