"Pred","Truth","Type","Convergence","sim","EM","OM"
0.118045394491448,0.108,"M_F","Converged",6,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.118045394491448,0.108,"M_M","Converged",6,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
13.9627191488899,8.8029469370394,"Tier 3 HCR Catch","Converged",6,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.5,0.5,"Female Sex Ratio","Converged",7,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.5,0.5,"Male Sex Ratio","Converged",7,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
105.615289372176,104.383281743258,"Bmsy","Converged",7,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.146023364328242,0.147594980706798,"Fmsy","Converged",7,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
19.5511718320807,17.28778,"R0","Converged",7,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.109900000776415,0.108,"M_F","Converged",7,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.109900000776415,0.108,"M_M","Converged",7,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
12.499342035939,11.2904324447672,"Tier 3 HCR Catch","Converged",7,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.5,0.5,"Female Sex Ratio","Converged",8,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.5,0.5,"Male Sex Ratio","Converged",8,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
97.2896209991559,104.383281743258,"Bmsy","Converged",8,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.148795564685613,0.147594980706798,"Fmsy","Converged",8,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
15.8017934948182,17.28778,"R0","Converged",8,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.115601257572568,0.108,"M_F","Converged",8,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.115601257572568,0.108,"M_M","Converged",8,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
20.3696902311106,14.0524639834353,"Tier 3 HCR Catch","Converged",8,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.5,0.5,"Female Sex Ratio","Converged",9,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.5,0.5,"Male Sex Ratio","Converged",9,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
88.4757062174212,104.383281743258,"Bmsy","Converged",9,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.156747095536978,0.147594980706798,"Fmsy","Converged",9,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
28.478660215908,17.28778,"R0","Converged",9,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.12404457505877,0.108,"M_F","Converged",9,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.12404457505877,0.108,"M_M","Converged",9,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
46.9369103495163,31.9096592297634,"Tier 3 HCR Catch","Converged",9,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.5,0.5,"Female Sex Ratio","Converged",10,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.5,0.5,"Male Sex Ratio","Converged",10,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
121.706550240204,104.383281743258,"Bmsy","Converged",10,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.144443129087023,0.147594980706798,"Fmsy","Converged",10,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
16.1842246019277,17.28778,"R0","Converged",10,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.0981420017291076,0.108,"M_F","Converged",10,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
0.0981420017291076,0.108,"M_M","Converged",10,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
10.6661206384658,15.4469277154865,"Tier 3 HCR Catch","Converged",10,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)"
