"Age","Sex","True","Pred","Convergence","sim","EM","OM","Type"
12,2,4.64689281530972,4.63986963458947,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
13,2,4.82562748834234,4.81059789872294,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
14,2,4.97994872083971,4.95707305178471,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
15,2,5.11268313306861,5.08227150343141,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
16,2,5.22648997606137,5.18895474144744,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
17,2,5.32381249582001,5.27962977706833,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
18,2,5.40685673335688,5.35653628538573,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
19,2,5.47758844492918,5.42165078242761,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
20,2,5.5377414565729,5.47670105552219,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
21,2,5.58883275738382,5.52318619361983,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
22,2,5.63218110882462,5.56239910848215,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
23,2,5.66892701667403,5.59544953603349,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
24,2,5.70005267524503,5.62328627433793,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
25,2,5.72640102866033,5.64671794044203,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
26,2,5.74869346247742,5.66643188101955,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
27,2,5.76754588734057,5.68301110218601,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
28,2,5.7834831393354,5.69694922917291,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
29,2,5.79695172486019,5.70866359354401,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
30,2,5.80833099962894,5.7185065933582,"Converged",1,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
1,1,0.800220113406208,0.778954527412116,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
2,1,1.20796285697858,1.19674554074452,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
3,1,1.64445462610239,1.64560899183418,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
4,1,2.08588861916587,2.09948190612301,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
5,1,2.51481923738296,2.53946184601142,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
6,1,2.91957186656435,2.9531062714324,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
7,1,3.29316533931301,3.33317030205764,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
8,1,3.63217402539275,3.67629235381625,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
9,1,3.93571598120077,3.98184220492693,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
10,1,4.20462937945299,4.2509974588945,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
11,1,4.44083947522637,4.48604493890964,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
12,1,4.64689281530972,4.68987551231616,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
13,1,4.82562748834234,4.86563340614397,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
14,1,4.97994872083971,5.01648306302737,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
15,1,5.11268313306861,5.14546220694652,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
16,1,5.22648997606137,5.25539619236471,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
17,1,5.32381249582001,5.34885462379182,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
18,1,5.40685673335688,5.42813619018011,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
19,1,5.47758844492918,5.4952715871966,"Converged",2,"Sex (MAgg, PropAcr, CatSex)","Growth_M (0,0)","Weight at age"
